,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
0,O,g,15.9994,249.170,231.731,161.055,21.912,0.0
1,O2,g,31.9988,0,0,205.138,29.355,0.0
2,O3,g,47.9982,142.7,163.2,238.93,39.20,0.0
3,H,g,1.0080,217.965,203.247,114.713,20.784,0.0
4,H<sup>+</sup>,ao,1.0080,0,0,0,0,1.0
5,D,g,2.0141,221.673,206.506,123.349,20.786,0.0
6,H2,g,2.016,0,0,130.684,28.824,0.0
7,D2,g,4.0282,0,0,144.960,29.196,0.0
8,HD,g,3.0221,0.318,-1.464,143.801,29.196,0.0
9,OH,g,17.0074,38.95,34.23,183.745,29.886,0.0
10,OH<sup>-</sup>,ao,17.0074,-229.994,-157.244,-10.75,-148.5,-1.0
11,OD,g,18.0135,36.86,32.47,189.733,29.874,0.0
12,HO2,g,33.0068,10.5,22.6,229.0,34.89,0.0
13,H2O,l,18.0154,-285.830,-237.129,69.91,75.291,0.0
14,H2O,g,18.0154,-241.818,-228.572,188.825,33.577,0.0
15,D2O,l,20.0276,-294.600,-243.439,75.94,84.35,0.0
16,D2O,g,20.0276,-249.199,-234.535,198.339,34.27,0.0
17,HDO,g,19.0215,-245.300,-233.112,199.511,33.81,0.0
18,H2O2,l,34.0148,-187.78,-120.35,109.6,89.1,0.0
19,H2O2,g,34.0148,-136.31,-105.57,232.7,43.1,0.0
20,He,g,4.0026,0,0,126.150,20.786,0.0
21,Ne,g,20.1830,0,0,146.328,20.786,0.0
22,Ar,g,39.948,0,0,154.843,20.786,0.0
23,Kr,g,83.8000,0,0,164.082,20.786,0.0
24,Xe,g,131.3000,0,0,169.683,20.786,0.0
25,Rn,g,222.0000,0,0,176.21,20.786,0.0
26,F,g,18.9984,78.99,61.91,158.754,22.744,0.0
27,F<sup>-</sup>,ao,18.9984,-332.63,-278.79,-13.8,-106.7,-1.0
28,F2,g,37.9968,0,0,202.78,31.30,0.0
29,FO,g,34.9978,109.,105.,216.8,30.5,0.0
30,F2O,g,53.9962,24.7,41.9,247.43,43.30,0.0
31,HF,g,20.0064,-271.1,-273.2,173.779,29.133,0.0
32,HF,ai,20.0064,-332.63,-278.79,-13.8,-106.7,0.0
33,Cl,g,35.4530,121.679,105.680,165.198,21.840,0.0
34,Cl<sup>-</sup>,ao,35.4530,-167.159,-131.228,56.5,-136.4,-1.0
35,Cl2,g,70.9060,0,0,223.066,33.907,0.0
36,ClO,g,51.4524,101.84,98.11,226.63,31.46,0.0
37,ClO2,g,67.4518,102.5,120.5,256.84,41.97,0.0
38,ClOO,g2,67.4518,89.1,105.0,263.7,46.0,0.0
39,Cl2O,g,86.9054,80.3,97.9,266.21,45.40,0.0
40,HCl,g,36.4610,-92.307,-95.299,186.908,29.12,0.0
41,HCl,ai,36.4610,-167.159,-131.228,56.5,-136.4,0.0
42,HClO,g,52.4604,-78.7,-66.1,236.67,37.15,0.0
43,ClF,g,54.4514,-54.48,-55.94,217.89,32.05,0.0
44,ClF3,g,92.4482,-163.2,-123.0,281.61,63.85,0.0
45,ClO3F,g,102.4496,-23.8,48.2,278.97,64.94,0.0
46,Br,g,79.9090,111.884,82.396,175.022,20.786,0.0
47,Br<sup>-</sup>,ao,79.9090,-121.55,-103.96,82.4,-141.8,-1.0
48,Br2,l,159.8180,0,0,152.231,75.689,0.0
49,Br2,g,159.8180,30.907,3.110,245.463,36.02,0.0
50,BrO,g,95.9084,125.77,108.22,237.55,32.09,0.0
51,HBr,g,80.9170,-36.40,-53.45,198.695,29.142,0.0
52,HBr,ai,80.9170,-121.55,-103.96,82.4,-141.8,0.0
53,BrF,g,98.9074,-93.85,-109.18,228.97,32.97,0.0
54,BrF3,l,136.9042,-300.8,-240.5,178.2,124.60,0.0
55,BrF3,g,136.9042,-255.60,-229.43,292.53,66.61,0.0
56,BrF5,g,174.9010,-428.9,-350.6,320.19,99.62,0.0
57,BrCl,g,115.3620,14.64,-0.98,240.10,34.98,0.0
58,I,g,126.9044,106.838,70.250,180.791,20.786,0.0
59,I<sup>-</sup>,ao,126.9044,-55.19,-51.57,111.3,-142.3,-1.0
60,I2,cr,253.8088,0,0,116.135,54.438,0.0
61,I2,g,253.8088,62.438,19.327,260.69,36.90,0.0
62,IO,g,142.9038,175.06,149.77,245.50,32.89,0.0
63,HI,g,127.9124,26.48,1.70,206.594,29.158,0.0
64,HI,ai,127.9124,-55.19,-51.57,111.3,-142.3,0.0
65,IF,g,145.9028,-95.65,-118.51,236.17,33.43,0.0
66,IF5,g,221.8964,-822.49,-751.73,327.7,99.2,0.0
67,IF7,g,259.8932,-943.9,-818.3,346.5,136.4,0.0
68,ICl,g,162.3574,17.78,-5.46,247.551,35.56,0.0
69,IBr,g,206.8134,40.84,3.69,258.773,36.44,0.0
70,S,cr,32.0640,0,0,31.80,22.64,0.0
71,S,g,32.0640,278.805,238.250,167.821,23.673,0.0
72,S2,g,64.1280,128.37,79.30,228.18,32.47,0.0
73,S8,g,256.5120,102.30,49.63,430.98,156.44,0.0
74,SO,g,48.0634,6.259,-19.853,221.95,30.17,0.0
75,SO2,g,64.0628,-296.830,-300.194,248.22,39.87,0.0
76,SO3,g,80.0622,-395.72,-371.06,256.76,50.67,0.0
77,SO4<sup>2-</sup>,ao,96.0616,-909.27,-744.53,20.1,-293.,-2.0
78,S4O6<sup>2-</sup>,ao,224.2524,-1224.2,-1040.4,257.3,-67.8,-2.0
79,HS,g,33.0720,142.67,113.29,195.67,32.30,0.0
80,H2S,g,34.0800,-20.63,-33.56,205.79,34.23,0.0
81,HSO4<sup>-</sup>,ao,97.0696,-887.34,-755.91,131.8,-84.,-1.0
82,H2SO4,l,98.0776,-813.989,-690.003,156.904,138.91,0.0
83,H2SO4,ai,98.0776,-909.27,-744.53,20.1,-293.,0.0
84,H2SO4·H2O,l,116.0930,-1127.621,-950.383,211.54,214.85,0.0
85,H2SO4·2H2O,l,134.1084,-1427.100,-1199.650,276.40,260.83,0.0
86,H2SO4·3H2O,l,152.1238,-1720.402,-1443.980,345.39,318.95,0.0
87,H2SO4·4H2O,l,170.1392,-2011.199,-1685.863,414.59,382.21,0.0
88,H2SO4·6.5H2O,l,215.1777,-2733.256,-2285.734,587.89,570.28,0.0
89,SF4,g,108.0576,-774.9,-731.3,292.03,73.01,0.0
90,SF6,g,146.0544,-1209.,-1105.3,291.82,97.28,0.0
91,S2Cl2,g,135.0340,-18.4,-31.8,331.5,73.6,0.0
92,SOCl2,g,118.9694,-212.5,-198.3,309.77,66.5,0.0
93,SO2Cl2,g,134.9688,-364.0,-320.0,311.94,77.0,0.0
94,SF5Cl,g,162.5090,-1048.1,-949.3,319.18,104.2,0.0
95,SOBr2,g,207.8814,-123.0,-136.8,332.95,69.71,0.0
96,Se,cr,78.9600,0,0,42.442,25.363,0.0
97,Se,g,78.9600,227.07,187.03,176.72,20.820,0.0
98,Se2,g,157.9200,146.0,96.2,252.0,35.40,0.0
99,SeO,g,94.9594,53.35,26.80,234.0,31.25,0.0
100,H2Se,g,80.9760,29.7,15.9,219.02,34.73,0.0
101,SeF6,g,192.9504,-1117.,-1017.,313.87,110.5,0.0
102,Te,cr,127.6000,0,0,49.71,25.73,0.0
103,Te,g,127.6000,196.73,157.08,182.74,20.786,0.0
104,Te2,g,255.2000,168.2,118.0,268.14,36.74,0.0
105,TeO,g,143.5994,65.3,38.5,241.5,30.08,0.0
106,N,g,14.0067,472.704,455.563,153.298,20.786,0.0
107,N2,g,28.0134,0,0,191.61,29.125,0.0
108,NO,g,30.0061,90.25,86.55,210.761,29.844,0.0
109,NO2,g,46.0055,33.18,51.31,240.06,37.20,0.0
110,NO2<sup>-</sup>,ao,46.0055,-104.6,-32.2,123.0,-97.5,-1.0
111,NO3<sup>-</sup>,ao,62.0049,-207.36,-111.25,146.4,-86.6,-1.0
112,N2O,g,44.0128,82.05,104.20,219.85,38.45,0.0
113,N2O3,g,76.0116,83.72,139.46,312.28,65.61,0.0
114,N2O4,l,92.0110,-19.50,97.54,209.2,142.7,0.0
115,N2O4,g,92.0110,9.16,97.89,304.29,77.28,0.0
116,N2O5,cr,108.0104,-43.1,113.9,178.2,143.1,0.0
117,N2O5,g,108.0104,11.3,115.1,355.7,84.5,0.0
118,NH,g,15.0147,351.5,345.6,181.23,29.192,0.0
119,NH2,g,16.0227,184.9,194.6,195.00,33.85,0.0
120,NH3,g,17.0307,-46.11,-16.45,192.45,35.06,0.0
121,NH4<sup>+</sup>,ao,18.0387,-132.51,-79.31,113.4,79.9,1.0
122,N2H4,l,32.0454,50.63,149.34,121.21,98.87,0.0
123,N2H4,g,32.0454,95.40,159.35,238.47,49.58,0.0
124,N2H5<sup>+</sup>,ao,33.0534,-7.5,82.5,151.,70.3,1.0
125,HN3,g,43.0281,294.1,328.1,238.97,43.68,0.0
126,HNO2,g,47.0135,-77.99,-42.94,248.76,44.77,0.0
127,HNO2,g2,47.0135,-80.12,-45.24,249.22,46.07,0.0
128,HNO2,g3,47.0135,-79.5,-46.0,254.1,45.6,0.0
129,HNO3,l,63.0129,-174.10,-80.71,155.60,109.87,0.0
130,HNO3,g,63.0129,-135.06,-74.72,266.38,53.35,0.0
131,HNO3,ai,63.0129,-207.36,-111.25,146.4,-86.6,0.0
132,HNO3·H2O,l,81.0283,-473.46,-328.77,216.90,182.46,0.0
133,HNO3·3H2O,l,117.0591,-1056.04,-811.09,346.98,325.14,0.0
134,NH4OH,l,35.0461,-361.20,-254.02,165.56,154.89,0.0
135,NH4OH,ai,35.0461,-362.50,-236.53,102.5,-68.6,0.0
136,NH4NO2,ai,64.0442,-237.2,-111.6,236.4,-17.6,0.0
137,NH4NO3,cr,80.0436,-365.56,-183.87,151.08,139.3,0.0
138,NH4NO3,ai,80.0436,-339.87,-190.56,259.8,-6.7,0.0
139,N2H5OH,ao,50.0608,-251.50,-109.1,207.9,73.2,0.0
140,(NH4)2O,l,52.0768,-430.70,-266.93,267.52,247.19,0.0
141,NF2,g,52.0035,43.1,57.8,249.94,41.00,0.0
142,NF3,g,71.0019,-124.7,-83.2,260.73,53.1,0.0
143,N2F4,g,104.0070,-7.1,81.2,301.19,79.1,0.0
144,NOF,g,49.0045,-66.5,-51.0,248.10,41.34,0.0
145,NH4F,cr,37.0371,-463.96,-348.68,71.96,65.27,0.0
146,NH4F,ai,37.0371,-465.14,-358.09,99.6,-26.8,0.0
147,NH4HF2,cr,57.0435,-802.9,-650.9,115.52,106.69,0.0
148,NOCl,g,65.4591,51.71,66.08,261.69,44.69,0.0
149,NO2Cl,g,81.4585,12.6,54.4,272.15,53.18,0.0
150,NH4Cl,cr,53.4917,-314.43,-202.87,94.6,84.1,0.0
151,NH4Cl,ai,53.4917,-299.66,-210.52,169.9,-56.5,0.0
152,N2H5Cl,ai,68.5064,-174.9,-48.8,207.1,-66.1,0.0
153,NOBr,g,109.9151,82.17,82.42,273.66,45.48,0.0
154,NH4Br,cr,97.9477,-270.83,-175.2,113.,96.,0.0
155,NH4Br,ai,97.9477,-254.05,-183.26,195.8,-61.9,0.0
156,N2H5Br,ai,112.9624,-128.9,-21.6,233.0,-71.5,0.0
157,NH4I,ai,144.9431,-187.69,-130.88,224.7,-62.3,0.0
158,NH4HSO4,ai,115.1083,-1019.85,-835.21,245.2,-3.8,0.0
159,(NH4)2SO4,cr,132.1390,-1180.85,-901.67,220.1,187.49,0.0
160,(NH4)2SO4,ai,132.1390,-1174.28,-903.14,246.9,-133.1,0.0
161,(N2H5)2SO4,ai,162.1684,-924.7,-579.6,322.,-151,0.0
162,P,cr,30.9738,0,0,41.09,23.840,0.0
163,P,cr2,30.9738,-17.6,-12.1,22.80,21.21,0.0
164,P,g,30.9738,314.64,278.25,163.193,20.786,0.0
165,P2,g,61.9476,144.3,103.7,218.129,32.05,0.0
166,P4,g,123.8952,58.91,24.44,279.98,67.15,0.0
167,PO,g,46.9732,-28.5,-51.9,222.78,31.76,0.0
168,PO2,g,62.9726,-279.9,-281.6,252.11,39.54,0.0
169,P4O10,cr,283.8892,-2984.0,-2697.7,228.86,211.71,0.0
170,PH3,g,33.9978,5.4,13.4,210.23,37.11,0.0
171,H3PO4,cr,97.9954,-1279.0,-1119.1,110.50,106.06,0.0
172,H3PO4·0.5H2O,cr,107.0031,-1431.3,-1242.1,129.16,126.02,0.0
173,PF3,g,87.9690,-918.8,-897.5,273.24,58.70,0.0
174,POF3,g,103.9684,-1211.3,-1162.7,285.08,68.66,0.0
175,PCl3,g,137.3328,-287.0,-267.8,311.78,71.84,0.0
176,PCl5,g,208.2388,-374.9,-305.0,364.58,112.80,0.0
177,POCl3,l,153.3322,-597.1,-520.8,222.46,138.78,0.0
178,POCl3,g,153.3322,-558.48,-512.93,325.46,84.94,0.0
179,PBr3,g,270.7008,-139.3,-162.8,348.09,75.98,0.0
180,PH4I,cr,161.9102,-69.9,0.9,123.0,109.6,0.0
181,PN,g,44.9805,109.87,87.72,211.19,29.71,0.0
182,NH4H2PO4,cr,115.0261,-1445.07,-1210.38,151.96,142.26,0.0
183,As,cr,74.9216,0,0,35.1,24.64,0.0
184,As,g,74.9216,302.5,261.0,174.21,20.786,0.0
185,As2,g,149.8432,222.2,171.9,239.4,35.003,0.0
186,As2O5,cr,229.8402,-924.87,-782.3,105.4,116.52,0.0
187,As4O6,cr,395.6828,-1313.94,-1152.43,214.2,191.29,0.0
188,AsH3,g,77.9456,66.44,68.93,222.78,38.07,0.0
189,AsF3,l,131.9168,-821.3,-774.16,181.21,126.57,0.0
190,AsF3,g,131.9168,-785.76,-770.76,289.10,65.61,0.0
191,AsCl3,g,181.2806,-261.5,-248.9,327.17,75.73,0.0
192,AsBr3,g,314.6486,-130.,-159.,363.87,79.16,0.0
193,AsI3,cr,455.6348,-58.2,-59.4,213.05,105.77,0.0
194,As2S3,cr,246.0352,-169.0,-168.6,163.6,116.3,0.0
195,AsN,g,88.9283,196.27,167.97,225.6,30.42,0.0
196,NH4H2AsO4,cr,158.9739,-1059.8,-832.9,172.05,151.17,0.0
197,Sb,cr,121.7500,0,0,45.69,25.23,0.0
198,Sb,g,121.7500,262.3,222.1,180.27,20.79,0.0
199,Sb2,g,243.5000,235.6,187.0,254.92,36.40,0.0
200,Sb2O4,cr,307.4976,-907.5,-795.7,127.2,114.60,0.0
201,Sb4O6,cr2,582.9964,-1417.1,-1253.0,246.0,202.76,0.0
202,SbH3,g,124.7740,145.105,147.75,232.78,41.05,0.0
203,SbCl3,cr,228.1090,-382.17,-323.67,184.1,107.9,0.0
204,SbCl3,g,228.1090,-313.8,-301.2,337.80,76.69,0.0
205,SbCl5,g,299.0150,-394.34,-334.29,401.94,121.13,0.0
206,SbBr3,g,361.4770,-194.6,-223.9,372.86,80.21,0.0
207,Sb2S3,cr,339.6920,-174.9,-173.6,182.0,119.87,0.0
208,Bi,cr,208.9800,0,0,56.74,25.52,0.0
209,Bi,g,208.9800,207.1,168.2,187.005,20.786,0.0
210,Bi2O3,cr,465.9582,-573.88,-493.7,151.5,113.51,0.0
211,BiCl3,cr,315.3390,-379.1,-315.0,177.0,105.,0.0
212,BiCl3,g,315.3390,-265.7,-256.0,358.85,79.66,0.0
213,Bi2S3,cr,514.1520,-143.1,-140.6,200.4,122.2,0.0
214,Bi2Te3,cr,800.7600,-77.4,-77.0,260.91,120.5,0.0
215,C,cr,12.0112,0,0,5.740,8.527,0.0
216,C,cr2,12.0112,1.895,2.900,2.377,6.113,0.0
217,C,g,12.0112,716.682,671.257,158.096,20.838,0.0
218,CO,g,28.0106,-110.525,-137.168,197.674,29.142,0.0
219,CO2,g,44.0100,-393.509,-394.359,213.74,37.11,0.0
220,CH2,g,14.0272,390.37,372.92,194.87,33.76,0.0
221,CH3,g,15.0352,145.69,147.92,194.2,38.70,0.0
222,CH4,g,16.0432,-74.81,-50.72,186.264,35.309,0.0
223,HCO,g,29.0186,43.1,28.0,224.71,34.56,0.0
224,HCO2<sup>-</sup>,ao,45.0180,-425.55,-351.0,92.,-87.9,-1.0
225,HCHO,g,30.0266,-108.57,-102.53,218.77,35.40,0.0
226,HCO2H,l,46.0260,-424.72,-361.35,128.95,99.04,0.0
227,HCO2H,ai,46.0260,-425.55,-351.0,92.,-87.9,0.0
228,CH3OH,l,32.0426,-238.66,-166.27,126.8,81.6,0.0
229,CH3OH,g,32.0426,-200.66,-161.96,239.81,43.89,0.0
230,CF3,g,69.0064,-477.,-464.,264.5,49.58,0.0
231,CF4,g,88.0048,-925.,-879.,261.61,61.09,0.0
232,COF2,g,66.0074,-634.7,-619.2,258.60,46.82,0.0
233,CH2F2,g,52.0240,-446.9,-419.2,246.71,42.89,0.0
234,CHF3,g,70.0144,-688.3,-653.9,259.68,51.04,0.0
235,CCl4,l,153.8232,-135.44,-65.21,216.40,131.75,0.0
236,CCl4,g,153.8232,-102.9,-60.59,309.85,83.30,0.0
237,COCl2,g,98.9166,-218.8,-204.6,283.53,57.66,0.0
238,CH3Cl,g,50.4882,-80.83,-57.37,234.58,40.75,0.0
239,CH2Cl2,l,84.9332,-121.46,-67.26,177.8,100.0,0.0
240,CH2Cl2,g,84.9332,-92.47,-65.87,270.23,50.96,0.0
241,CHCl3,l,119.3782,-134.47,-73.66,201.7,113.8,0.0
242,CHCl3,g,119.3782,-103.14,-70.34,295.71,65.69,0.0
243,CF3Cl,g,104.4594,-695.,-653.,285.29,66.86,0.0
244,CF2Cl2,g,120.9140,-477.,-439.,300.77,72.26,0.0
245,CFCl3,l,137.3686,-301.33,-236.79,225.35,121.55,0.0
246,CFCl3,g,137.3686,-276.,-238.,309.93,78.07,0.0
247,CBr4,cr,331.6472,18.8,47.7,212.5,144.3,0.0
248,CBr4,g,331.6472,79.,67.,358.05,91.17,0.0
249,COBr2,g,187.8286,-96.2,-110.9,309.10,61.84,0.0
250,CH3Br,g,94.9442,-35.1,-25.9,246.38,42.43,0.0
251,CHBr3,l,252.7462,-28.5,-5.0,220.9,130.,0.0
252,CHBr3,g,252.7462,17.,8.,330.94,71.21,0.0
253,CF3Br,g,148.9154,-642.7,-616.3,297.76,69.33,0.0
254,CCl3Br,g,198.2792,-46.0,-21.3,332.95,85.27,0.0
255,CH3I,l,141.9396,-15.5,13.4,163.2,126.,0.0
256,CH3I,g,141.9396,13.0,14.7,254.12,44.10,0.0
257,CH2I2,l,267.8360,66.9,90.4,174.1,134.,0.0
258,CH2I2,g,267.8360,113.0,95.8,309.7,57.70,0.0
259,CS,g,44.0752,234.,184.,210.56,29.79,0.0
260,CS2,l,76.1392,89.70,65.27,151.34,75.7,0.0
261,CS2,g,76.1392,117.36,67.12,237.84,45.40,0.0
262,COS,g,60.0746,-142.09,-169.34,231.57,41.51,0.0
263,CH3SH,l,48.1072,-46.36,-7.68,169.20,90.54,0.0
264,CH3SH,g,48.1072,-22.34,-9.30,255.17,50.25,0.0
265,SC(SH)2,l,110.2192,25.1,29.3,218.,149.8,0.0
266,CN,g,26.0179,437.6,407.5,202.6,29.16,0.0
267,HCN,l,27.0259,108.87,124.97,112.84,70.63,0.0
268,HCN,g,27.0259,135.1,124.7,201.78,35.86,0.0
269,CH3NH2,g,31.0579,-22.97,32.16,243.41,53.1,0.0
270,CH3NHNH2,l,46.0726,54.0,180.0,165.94,134.93,0.0
271,CH3NHNH2,g,46.0726,94.35,186.96,278.81,71.1,0.0
272,CH3NO2,l,61.0407,-113.09,-14.42,171.75,105.98,0.0
273,CH3NO2,g,61.0407,-74.73,-6.84,274.96,57.32,0.0
274,CH3NO3,l,77.0401,-159.0,-43.4,217.1,157.3,0.0
275,HCO2NH4,ai,63.0567,-558.06,-430.4,205.,-7.9,0.0
276,CO(NH2)2,cr,60.0560,-333.51,-197.33,104.60,93.14,0.0
277,CNCl,g,61.4709,137.95,131.04,236.17,44.98,0.0
278,CH3NH3Cl,cr,67.5189,-297.90,-158.82,138.62,90.88,0.0
279,CNBr,g,105.9269,186.2,165.3,248.30,46.94,0.0
280,CNI,g,152.9223,225.5,196.6,256.80,48.28,0.0
281,SCN<sup>-</sup>,ao,58.0819,76.44,92.71,144.3,-40.2,-1.0
282,HNCS,g2,59.0899,127.6,113.0,247.8,46.9,0.0
283,HSCN,ai,59.0899,76.44,92.71,144.3,-40.2,0.0
284,NH4SCN,ai,76.1206,-56.07,13.40,257.7,39.7,0.0
285,C2,g,24.0224,831.90,775.89,199.418,43.208,0.0
286,C2H2,g,26.0384,226.73,209.20,200.94,43.93,0.0
287,C2H4,g,28.0544,52.26,68.15,219.56,43.56,0.0
288,C2H5,g,29.0624,107.5,133.1,252.0,46.69,0.0
289,C2H6,g,30.0704,-84.68,-32.82,229.60,52.63,0.0
290,CH2CO,g,42.0378,-47.7,-48.5,247.63,51.76,0.0
291,CH3COO<sup>-</sup>,ao,59.0452,-486.01,-369.31,86.6,-6.3,-1.0
292,C2H4O,l,44.0538,-77.82,-11.76,153.85,87.95,0.0
293,C2H4O,g,44.0538,-52.63,-13.01,242.53,47.91,0.0
294,CH3CHO,g2,44.0538,-155.69,-132.86,263.8,55.30,0.0
295,CH3COOH,l,60.0532,-484.5,-389.9,159.8,124.3,0.0
296,CH3COOH,g,60.0532,-432.25,-374.0,282.5,66.5,0.0
297,CH3COOH,ai,60.0532,-486.01,-369.31,86.6,-6.3,0.0
298,C2H5OH,l,46.0698,-277.69,-174.78,160.7,111.46,0.0
299,C2H5OH,g,46.0698,-235.10,-168.49,282.70,65.44,0.0
300,(CH3)2O,g2,46.0698,-184.05,-112.59,266.38,64.39,0.0
301,(CH2OH)2,l,62.0692,-454.80,-323.08,166.9,149.8,0.0
302,C2F4,g2,100.0160,-650.6,-615.9,300.06,80.46,0.0
303,C2F6,g,138.0128,-1297.,-1213.,332.3,106.7,0.0
304,CH2CF2,g2,64.0352,-328.9,-305.4,266.2,60.08,0.0
305,CH3CHF2,g,66.0512,-478.2,-420.8,282.5,67.8,0.0
306,CH3CF3,g,84.0416,-736.4,-667.3,279.89,78.20,0.0
307,C2Cl4,l,165.8344,-52.3,4.7,266.9,141.0,0.0
308,C2Cl4,g,165.8344,-12.1,22.6,341.1,94.93,0.0
309,C2Cl6,g,236.7404,-141.8,-57.7,398.8,136.8,0.0
310,CH2CHCl,g,62.4994,35.6,51.9,263.99,53.72,0.0
311,C2H5Cl,l,64.5154,-136.52,-59.31,190.79,104.35,0.0
312,C2H5Cl,g,64.5154,-112.17,-60.39,276.00,62.80,0.0
313,CH2CCl2,l,96.9444,-24.3,24.54,201.54,111.29,0.0
314,CH2CCl2,g,96.9444,2.43,25.18,288.97,67.07,0.0
