,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
934,Nd2S3,cr,384.6720,-1188.,-1172.4,185.27,122.51,0.0
935,NdC2,g,168.2624,547.06,493.3,26.5,44.4,0.0
936,NdAu,g,341.2070,394.6,343.9,289.,36.8,0.0
937,Pr,cr,140.9070,0,0,73.2,27.20,0.0
938,Pr,g,140.9070,355.6,320.9,189.808,21.359,0.0
939,Pr<sup>3+</sup>,ao,140.9070,-704.6,-679.1,-209.,-29.,3.0
940,PrH2,cr,142.9230,-198.3,-154.4,56.9,41.0,0.0
941,PrCl3,ai,247.2660,-1206.2,-1072.7,-42.,-439.,0.0
942,PrC2,g,164.9294,549.4,496.6,262.0,44.4,0.0
943,PrAu,g,337.8740,415.5,365.2,289.,36.8,0.0
944,Ce,cr,140.1200,0,0,72.0,26.94,0.0
945,Ce,g,140.1200,423.,385.,191.766,23.075,0.0
946,Ce2,g,280.2400,602.1,561.5,280.,37.03,0.0
947,CeO,g,156.1194,-128.4,-149.0,243.2,31.71,0.0
948,CeO2,cr,172.1188,-1088.7,-1024.6,62.30,61.63,0.0
949,Ce2O3,cr,328.2382,-1796.2,-1706.2,150.6,114.6,0.0
950,CeH2,cr,142.1360,-205.,-163.,55.6,40.92,0.0
951,CeCl3,cr,246.4790,-1053.5,-977.8,151.,87.4,0.0
952,CeS,cr,172.1840,-459.4,-451.5,78.2,49.96,0.0
953,CeS,g,172.1840,131.4,84.5,260.4,34.7,0.0
954,CeS2,g,204.2480,10.0,-36.9,293.,57.7,0.0
955,Ce2S,g,312.3040,299.6,251.0,339.,54.0,0.0
956,CeC2,g,164.1424,569.9,514.2,268.,43.9,0.0
957,CeC4,g,188.1648,703.,636.,306.,72.4,0.0
958,CeAu,g,337.0870,456.9,407.5,285.,36.8,0.0
959,La,cr,138.9100,0,0,56.9,27.11,0.0
960,La,g,138.9100,431.0,393.56,182.377,22.753,0.0
961,La<sup>3+</sup>,ao,138.9100,-707.1,-683.7,-217.6,-13.,3.0
962,La2,g,277.8200,615.0,566.5,276.3,36.4,0.0
963,LaO,g,154.9094,-121.38,-145.28,239.73,31.76,0.0
964,La2O3,cr,325.8182,-1793.7,-1705.8,127.32,108.78,0.0
965,LaCl3,ai,245.2690,-1208.8,-1077.3,-50.,-423.,0.0
966,LaCl3·7H2O,cr,371.3768,-3178.6,-2712.9,462.8,431.0,0.0
967,LaS,cr,170.9740,-456.,-451.5,73.2,59.,0.0
968,LaS,g,170.9740,136.0,184.5,251.,34.39,0.0
969,La2Te3,cr,660.6200,-724.,-714.6,231.63,132.13,0.0
970,LaC2,g,162.9324,587.4,531.8,255.,44.4,0.0
971,LaAu,g,335.8770,463.6,410.8,280.,36.8,0.0
972,U,cr,238.0290,0,0,50.21,27.665,0.0
973,U,g,238.0290,535.6,491.2,199.77,23.694,0.0
974,UO2,cr,270.0278,-1084.9,-1031.7,77.03,63.60,0.0
975,UO2,g,270.0278,-465.7,-471.5,274.6,51.38,0.0
976,UO3,cr,286.0272,-1223.8,-1145.9,96.11,81.67,0.0
977,UO3,cr3,286.0272,-1217.5,-1140.5,99.41,81.88,0.0
978,UO3,cr4,286.0272,-1220.26,-1142.27,96.32,81.34,0.0
979,U3O7,cr,826.0828,-3427.1,-3242.9,250.54,215.52,0.0
980,U3O8,cr,842.0822,-3574.8,-3369.7,282.59,238.36,0.0
981,U4O9,cr,1096.1106,-4510.4,-4275.1,334.13,293.34,0.0
982,UH3,cr,241.0530,-127.2,-72.8,63.68,49.29,0.0
983,UF,g,257.0274,-42.,-71.,251.,37.82,0.0
984,UF2,g,276.0258,-531.,-544.,297.,66.9,0.0
985,UF3,cr,295.0242,-1502.1,-1433.4,123.43,95.10,0.0
986,UF3,g,295.0242,-1059.,-1050.,331.,74.5,0.0
987,UF4,cr,314.0226,-1914.2,-1823.3,151.67,116.02,0.0
988,UF4,g,314.0226,-1598.7,-1572.7,368.,91.2,0.0
989,UF5,g,333.0210,-1937.,-1887.,389.,109.6,0.0
990,UF6,cr,352.0194,-2197.0,-2068.5,227.6,166.77,0.0
991,UF6,g,352.0194,-2147.4,-2063.7,377.9,129.62,0.0
992,UO2F2,cr,308.0246,-1648.1,-1551.8,135.56,103.22,0.0
993,UCl3,cr,344.3880,-866.5,-799.1,159.0,102.5,0.0
994,UCl4,cr,379.8410,-1019.2,-930.0,197.1,122.01,0.0
995,UCl6,cr,450.7470,-1092.,-962.,285.8,175.7,0.0
996,UOCl2,cr,324.9344,-1066.9,-996.2,138.32,95.06,0.0
997,UO2Cl2,cr,340.9338,-1243.9,-1146.4,150.54,107.86,0.0
998,UBr3,cr,477.7560,-699.1,-673.6,192.5,108.8,0.0
999,UBr4,cr,557.6650,-802.5,-767.8,238.5,128.0,0.0
1000,UBr5,cr,637.5740,-810.9,-769.9,293.,160.7,0.0
1001,UOBr2,cr,413.8464,-973.6,-929.7,157.57,97.99,0.0
1002,UI3,cr,618.7422,-460.7,-459.8,222.,112.1,0.0
1003,UI4,cr,745.6466,-512.1,-506.7,263.6,134.3,0.0
1004,US,cr,270.0930,-318.,-318.,77.99,50.54,0.0
1005,US1.5,cr,286.1250,-427.,-427.,99.6,70.7,0.0
1006,US2,cr,302.1570,-527.,-526.,110.42,74.64,0.0
1007,US3,cr,334.2210,-549.4,-547.3,138.49,95.60,0.0
1008,UO2SO4,cr,366.0894,-1845.1,-1683.5,154.8,145.2,0.0
1009,UO2SO4·3H2O,cr,420.1356,-2754.3,-2417.7,268.,282.8,0.0
1010,USe,cr,316.9890,-276.,-276.,96.52,54.81,0.0
1011,UN,cr,252.0357,-290.8,-265.7,62.43,47.57,0.0
1012,UN1.59,cr,260.2996,-380.3,-339.3,65.02,54.18,0.0
1013,UN1.73,cr,262.2606,-399.2,-354.4,65.86,57.61,0.0
1014,UO2(NO3)2·2H2O,cr,430.0684,-1979.91,-1622.21,328.9,278.2,0.0
1015,UO2(NO3)2·6H2O,cr,502.1300,-3168.5,-2585.3,505.64,466.9,0.0
1016,UP,cr,269.0028,-268.,-264.,78.2,49.8,0.0
1017,UP2,cr,299.9766,-305.,-297.,101.7,80.00,0.0
1018,U3P4,cr,837.9822,-837.,-820.,258.6,174.9,0.0
1019,U3As4,cr,1013.7734,-720.,-724.,309.07,187.53,0.0
1020,USb2,cr,481.5290,-176.,-176.,141.46,80.17,0.0
1021,U3Sb4,cr,1201.0870,-452.,-456.,349.78,188.20,0.0
1022,UC,cr,250.0402,-98.3,-99.2,59.20,50.12,0.0
1023,UC1.94,cr,261.3307,-87.0,-90.0,71.04,60.75,0.0
1024,U2C3,cr,512.0916,-181.6,-187.4,137.78,107.36,0.0
1025,U3Si,cr,742.1730,-134.,-134.,174.01,107.91,0.0
1026,UB1.98,cr,259.4348,-160.2,-158.2,55.10,55.35,0.0
1027,UB2,cr,259.6510,-161.5,-159.4,55.52,55.77,0.0
1028,Pa,g,231.0359,607.,563.,198.05,22.93,0.0
1029,Th,cr,232.0381,0,0,53.39,27.32,0.0
1030,Th,g,232.0381,598.3,557.53,190.15,20.79,0.0
1031,Th2,g,464.0762,908.,851.8,295.1,37.32,0.0
1032,ThO,g,248.0375,-25.1,-50.2,240.06,31.25,0.0
1033,ThO2,cr,264.0369,-1226.4,-1168.77,65.23,61.76,0.0
1034,ThO2,g,264.0369,-497.9,-506.7,287.6,47.3,0.0
1035,ThH2,cr,234.0541,-139.7,-100.0,50.71,36.69,0.0
1036,ThH3.75,cr,235.8181,-210.9,-138.0,54.43,51.30,0.0
1037,ThF2,g,270.0349,-655.,-667.,295.1,52.43,0.0
1038,ThF3,g,289.0333,-1182.0,-1176.5,339.4,73.2,0.0
1039,ThF4,cr,308.0317,-2091.6,-1997.0,142.05,110.54,0.0
1040,ThF4,g,308.0317,-1748.9,-1714.2,341.9,92.9,0.0
1041,ThCl4,g,373.8501,-966.1,-935.5,397.5,101.7,0.0
1042,ThBr4,g,551.6741,-762.7,-784.5,431.1,105.0,0.0
1043,ThI4,g,739.6557,-460.7,-515.1,468.7,106.3,0.0
1044,ThN,cr,246.0448,-391.2,-363.6,56.07,45.2,0.0
1045,ThP,g,263.0119,536.,485.,267.5,35.6,0.0
1046,ThC1.94,cr,255.3398,-146.,-147.7,68.49,56.69,0.0
1047,ThB,g,242.8491,866.,807.,255.3,35.1,0.0
1048,ThRu,g,333.1081,669.,613.8,267.9,36.4,0.0
1049,ThPt,g,427.1281,613.0,555.2,289.2,36.8,0.0
1050,ThIr,g,424.2381,690.4,630.5,289.2,36.8,0.0
1051,Ac,cr,227.0280,0,0,56.5,27.2,0.0
1052,Ac,g,227.0280,406.,366.,188.1,20.84,0.0
1053,Be,cr,9.0122,0,0,9.50,16.44,0.0
1054,Be,g,9.0122,324.3,286.6,136.269,20.786,0.0
1055,BeO,cr,25.0116,-609.6,-580.3,14.14,25.52,0.0
1056,BeH,g,10.0202,316.3,285.8,176.72,29.08,0.0
1057,BeF,g,28.0106,-174.9,-203.4,205.75,29.87,0.0
1058,BeF2,cr,47.0090,-1026.8,-979.4,53.35,51.84,0.0
1059,BeCl,g,44.4652,59.,29.,217.7,31.63,0.0
1060,BeCl2,cr,79.9182,-490.4,-445.6,82.68,64.85,0.0
1061,BeCl2,cr2,79.9182,-495.8,-448.9,75.81,62.43,0.0
1062,BeSO4,cr,105.0738,-1205.20,-1093.80,77.91,85.69,0.0
1063,BeSO4·2H2O,cr,141.1046,-1823.14,-1598.08,163.22,153.26,0.0
1064,BeSO4·4H2O,cr,177.1354,-2423.75,-2080.40,232.97,216.61,0.0
1065,Be2SiO4,cr,110.1080,-2149.3,-2032.5,64.31,95.56,0.0
1066,BeO·Al2O3,cr,126.9728,-2300.8,-2178.5,66.27,105.39,0.0
1067,BeO·3Al2O3,cr,330.8952,-5627.1,-5320.2,175.7,265.18,0.0
1068,UBe13,cr,355.1876,-163.,-163.,180.3,242.09,0.0
1069,Mg,cr,24.3120,0,0,32.68,24.89,0.0
1070,Mg,g,24.3120,147.70,113.10,148.650,20.786,0.0
1071,MgO,cr,40.3114,-601.70,-569.43,26.94,37.15,0.0
1072,MgO,cr2,40.3114,-597.98,-565.95,27.91,37.66,0.0
1073,MgH2,cr,26.3280,-75.3,-35.9,31.09,35.35,0.0
1074,Mg(OH)2,cr,58.3268,-924.54,-833.51,63.18,77.03,0.0
1075,MgF,g,43.3104,-221.8,-247.7,220.98,32.55,0.0
1076,MgF2,cr,62.3088,-1123.4,-1070.2,57.24,61.59,0.0
1077,MgF2,g,62.3088,-723.8,-730.5,258.39,48.62,0.0
1078,MgCl,g,59.7650,-42.,-67.,233.6,34.81,0.0
1079,MgCl2,cr,95.2180,-641.32,-591.79,89.62,71.38,0.0
1080,MgCl2·H2O,cr,113.2334,-966.63,-861.74,137.2,115.27,0.0
1081,MgCl2·2H2O,cr,131.2488,-1279.72,-1118.00,179.9,159.20,0.0
1082,MgCl2·4H2O,cr,167.2796,-1898.99,-1623.29,264.0,241.42,0.0
1083,MgCl2·6H2O,cr,203.3104,-2499.02,-2114.64,366.1,315.06,0.0
1084,MgS,cr,56.3760,-346.0,-341.8,50.33,45.56,0.0
1085,MgSO4,cr,120.3736,-1284.9,-1170.6,91.6,96.48,0.0
1086,MgSO4·6H2O,cr,228.4660,-3087.0,-2631.8,348.1,348.11,0.0
1087,Mg(NO3)2,cr,148.3218,-790.65,-589.4,164.0,141.92,0.0
1088,Mg3(PO4)2,cr,262.8788,-3780.7,-3538.7,189.20,213.47,0.0
1089,MgCO3,cr,84.3214,-1095.8,-1012.1,65.7,75.52,0.0
1090,Mg2Si,cr,76.7100,-77.8,-75.3,75.,73.6,0.0
1091,MgSiO3,cr,100.3962,-1549.00,-1462.09,67.74,81.38,0.0
1092,Mg2SiO4,cr,140.7076,-2174.0,-2055.1,95.14,118.49,0.0
1093,Mg3Si2O5(OH)4,cr,277.1346,-4365.6,-4037.8,221.3,273.68,0.0
1094,MgSi4O10(OH)2,cr,379.2888,-5922.5,-5542.7,260.7,321.7,0.0
1095,Mg2Ge,cr,121.2140,-108.8,-105.9,86.48,69.54,0.0
1096,MgB12,cr,154.0440,-222.,-218.,89.5,151.5,0.0
1097,MgO·Al2O3,cr,142.2726,-2299.9,-2175.2,80.63,116.19,0.0
1098,Mg2Al4Si5O18,cr,584.9692,-9161.7,-8651.4,407.1,452.3,0.0
1099,MgCd,cr,136.7120,-16.07,-15.52,82.68,51.55,0.0
1100,MgCd3,cr,361.5120,-18.91,-19.71,190.62,118.16,0.0
1101,Mg3Cd,cr,185.3360,-22.26,-21.51,147.28,100.58,0.0
1102,MgCu2,cr,151.3920,-33.56,-33.9,100.,72.93,0.0
1103,MgNi2,cr,141.7320,-55.2,-54.0,88.70,73.39,0.0
1104,MgFe2O4,cr,200.0036,-1428.4,-1317.1,123.8,143.72,0.0
1105,MgCr2O4,cr,192.3016,-1783.6,-1668.9,106.02,126.78,0.0
1106,MgMoO4,cr,184.2496,-1400.85,-1295.68,118.8,111.17,0.0
1107,MgWO4,cr,272.1596,-1532.6,-1420.8,101.17,109.37,0.0
1108,MgV2O6,cr,222.1924,-2201.58,-2039.31,160.7,165.14,0.0
1109,Mg2V2O7,cr,262.5038,-2835.92,-2645.18,200.4,203.47,0.0
1110,MgTiO3,cr,120.2102,-1572.8,-1484.4,74.56,91.88,0.0
1111,MgTi2O5,cr,200.1090,-2509.6,-2366.8,127.28,147.07,0.0
1112,Mg2TiO4,cr,160.5216,-2165.2,-2046.7,109.33,128.66,0.0
1113,MgUO4,cr,326.3386,-1857.3,-1749.7,131.8,128.0,0.0
1114,Ca,cr,40.0800,0,0,41.42,25.31,0.0
1115,Ca,g,40.0800,178.2,144.3,154.884,20.786,0.0
1116,CaO,cr,56.0794,-635.09,-604.03,39.75,42.80,0.0
1117,CaH,g,41.0880,228.9,200.4,201.74,29.75,0.0
1118,Ca(OH)2,cr,74.0948,-986.09,-898.49,83.39,87.49,0.0
1119,CaF,g,59.0784,-272.0,-297.9,229.4,33.60,0.0
1120,CaF2,cr,78.0768,-1219.6,-1167.3,68.87,67.03,0.0
1121,CaF2,g,78.0768,-781.6,-790.4,274.37,51.25,0.0
1122,CaCl,g,75.5330,-97.9,-124.3,241.53,35.90,0.0
1123,CaCl2,cr,110.9860,-795.8,-748.1,104.6,72.59,0.0
1124,CaCl2,g,110.9860,-471.5,-479.24,290.27,59.33,0.0
1125,CaS,cr,72.1440,-482.4,-477.4,56.5,47.40,0.0
1126,CaSO4,cr,136.1416,-1434.11,-1321.79,106.7,99.66,0.0
1127,CaSO4,cr2,136.1416,-1425.24,-1313.42,108.4,100.21,0.0
1128,CaSO4,cr3,136.1416,-1420.80,-1308.98,108.4,99.04,0.0
1129,CaSO4·0.5H2O,cr,145.1493,-1576.74,-1436.74,130.5,119.41,0.0
1130,CaSO4·0.5H2O,cr2,145.1493,-1574.65,-1435.78,134.3,124.22,0.0
1131,CaSO4·2H2O,cr,172.1724,-2022.63,-1797.28,194.1,186.02,0.0
1132,Ca(NO3)2,cr,164.0898,-938.39,-743.07,193.3,149.37,0.0
1133,Ca2P2O7,cr,254.1034,-3338.8,-3132.0,189.24,187.82,0.0
1134,Ca3(PO4)2,cr,310.1828,-4120.8,-3884.7,236.0,227.82,0.0
1135,Ca3(PO4)2,cr2,310.1828,-4109.9,-3875.5,240.91,231.58,0.0
1136,CaHPO4,cr,136.0594,-1814.39,-1681.18,111.38,110.04,0.0
1137,CaHPO4·2H2O,cr,172.0902,-2403.58,-2154.58,189.45,197.07,0.0
1138,Ca(H2PO4)2·H2O,cr,252.0702,-3409.67,-3058.18,259.8,258.82,0.0
1139,Ca10(PO4)6(OH)2,cr,1004.6432,-13477.,-12677.,780.7,769.9,0.0
1140,Ca10(PO4)6F2,cr,1008.6252,-13744.,-12983.,775.7,751.9,0.0
1141,CaC2,cr,64.1024,-59.8,-64.9,69.96,62.72,0.0
1142,CaCO3,cr,100.0894,-1206.92,-1128.79,92.9,81.88,0.0
1143,CaCO3,cr2,100.0894,-1207.13,-1127.75,88.7,81.25,0.0
1144,CaC2O4·H2O,cr,146.1154,-1674.86,-1513.87,156.5,152.80,0.0
1145,CaO·SiO2,cr,116.1642,-1634.94,-1549.66,81.92,85.27,0.0
1146,CaO·SiO2,cr2,116.1642,-1628.4,-1544.7,87.36,86.48,0.0
1147,(CaO)2·SiO2,cr,172.2436,-2307.5,-2192.8,127.74,128.78,0.0
1148,(CaO)2·SiO2,cr2,172.2436,-2317.9,-2201.1,120.79,126.65,0.0
1149,(CaO)3·SiO2,cr,228.3230,-2929.2,-2784.0,168.6,171.88,0.0
1150,(CaO)3·2SiO2,cr,288.4078,-3961.0,-3761.3,210.79,214.39,0.0
1151,CaO·B2O3,cr,125.6996,-2030.96,-1924.03,104.85,103.97,0.0
1152,CaO·2B2O3,cr,195.3198,-3360.25,-3167.01,134.7,157.95,0.0
1153,(CaO)2·B2O3,cr,181.7790,-2734.41,-2596.59,145.10,147.11,0.0
1154,(CaO)3·B2O3,cr,237.8584,-3429.08,-3259.82,183.7,187.86,0.0
1155,CaO·Al2O3,cr,158.0406,-2326.3,-2208.7,114.22,120.79,0.0
1156,CaO·2Al2O3,cr,260.0018,-4025.8,-3818.6,177.82,200.83,0.0
1157,(CaO)3·Al2O3,cr,270.1994,-3587.8,-3411.5,205.9,209.87,0.0
1158,(CaO)12·7Al2O3,cr,1386.6812,-19430.,-18468.,1046.8,1085.7,0.0
1159,CaO·Al2O3·SiO2,cr,218.1254,-3298.2,-3122.0,141.4,165.7,0.0
1160,CaO·Al2O3·2SiO2,cr,278.2102,-4227.9,-4002.3,199.28,211.42,0.0
1161,CaO·Al2O3·2SiO2·2H2O,cr,314.2410,-4858.5,-4505.1,237.7,285.18,0.0
1162,(CaO)2·Al2O3·SiO2,cr,274.2048,-3981.5,-3783.1,210.0,205.43,0.0
1163,(CaO)2·2Al2O3·8SiO2·7H2O,cr,922.8674,-14249.0,-13199.8,922.2,954.0,0.0
1164,CaO·Fe2O3,cr,215.7716,-1520.34,-1412.75,145.35,153.59,0.0
1165,(CaO)2·Fe2O3,cr,271.8510,-2139.28,-2001.71,188.78,193.26,0.0
1166,CaMoO4,cr,200.0176,-1541.4,-1434.6,122.6,114.31,0.0
1167,CaWO4,cr,287.9276,-1645.15,-1538.43,126.40,114.14,0.0
1168,CaO·V2O5,cr,237.9604,-2329.27,-2169.60,179.1,166.77,0.0
1169,(CaO)2·V2O5,cr,294.0398,-3083.36,-2893.08,220.5,209.53,0.0
1170,(CaO)3·V2O5,cr,350.1192,-3777.94,-3560.96,274.9,252.25,0.0
1171,CaO·TiO2,cr,135.9782,-1660.6,-1575.2,93.64,97.65,0.0
1172,(CaO)3·2TiO2,cr,328.0358,-3950.5,-3751.3,234.7,239.32,0.0
1173,CaTiSiO5,cr,196.0630,-2603.3,-2461.8,129.20,138.95,0.0
1174,CaZrO3,cr,179.2982,-1766.9,-1681.1,100.08,99.91,0.0
1175,CaMg2,cr,88.7040,-40.2,-39.3,104.27,75.69,0.0
1176,CaCO3·MgCO3,cr,184.4108,-2326.3,-2163.4,155.18,157.53,0.0
1177,CaO·MgO·2SiO2,cr,216.5604,-3206.2,-3032.0,142.93,166.52,0.0
1178,(CaO)2·MgO·2SiO2,cr,272.6398,-3877.19,-3679.84,209.2,212.00,0.0
1179,(CaO)2·5MgO·8SiO2·H2O,cr,812.4096,-12360.,-11631.,548.9,655.6,0.0
1180,(CaO)3·MgO·2SiO2,cr,328.7192,-4567.7,-4340.4,253.1,252.25,0.0
1181,Sr,cr,87.6200,0,0,52.3,26.4,0.0
1182,Sr,g,87.6200,164.4,130.9,164.62,20.786,0.0
1183,SrO,cr,103.6194,-592.0,-561.9,54.4,45.02,0.0
1184,SrH,g,88.6280,218.,188.,212.66,30.00,0.0
1185,SrF,g,106.6184,-288.7,-314.2,239.89,34.60,0.0
1186,SrF2,cr,125.6168,-1216.3,-1164.8,82.13,70.00,0.0
1187,SrF2,g,125.6168,-764.4,-775.3,291.06,52.97,0.0
1188,SrCl,g,123.0730,-126.4,-152.7,252.0,36.53,0.0
1189,SrCl2,cr,158.5260,-828.9,-781.1,114.85,75.60,0.0
1190,SrCl2,g,158.5260,-485.8,-496.2,310.81,55.77,0.0
1191,SrCl2·H2O,cr,176.5414,-1136.8,-1036.3,172.,120.1,0.0
1192,SrCl2·2H2O,cr,194.5568,-1438.0,-1281.8,218.,160.2,0.0
1193,SrBr2,cr,247.4380,-717.6,-697.1,135.10,75.35,0.0
1194,SrBr2,g,247.4380,-410.,-444.,323.5,60.7,0.0
1195,SrBr2·H2O,cr,265.4534,-1031.4,-954.3,180.,120.9,0.0
1196,SrBr2·6H2O,cr,355.5304,-2531.3,-2174.1,406.,343.5,0.0
1197,SrS,cr,119.6840,-472.4,-467.8,68.2,48.70,0.0
1198,Sr(NO3)2,cr,211.6298,-978.22,-780.02,194.56,149.91,0.0
1199,SrCO3,cr,147.6294,-1220.1,-1140.1,97.1,81.42,0.0
1200,SrSiO3,cr,163.7042,-1633.9,-1549.7,96.7,88.53,0.0
1201,Sr2SiO4,cr,267.3236,-2304.5,-2191.1,153.1,134.26,0.0
1202,SrTiO3,cr,183.5182,-1672.39,-1588.36,108.8,98.37,0.0
1203,Sr2TiO4,cr,287.1376,-2287.4,-2172.3,159.0,143.68,0.0
1204,SrZrO3,cr,226.8382,-1767.3,-1682.8,115.1,103.39,0.0
1205,Ba,cr,137.3400,0,0,62.8,28.07,0.0
1206,Ba,g,137.3400,180.,146.,170.243,20.786,0.0
1207,BaO,cr,153.3394,-553.5,-525.1,70.42,47.78,0.0
1208,BaH,g,138.3480,222.,197.,218.89,30.08,0.0
1209,BaF,g,156.3384,-326.4,-350.6,246.1,34.85,0.0
1210,BaF2,cr,175.3368,-1207.1,-1156.8,96.36,71.21,0.0
1211,BaF2,g,175.3368,-818.0,-828.4,300.98,53.76,0.0
1212,BaCl,g,172.7930,-167.,-192.,258.7,36.82,0.0
1213,BaCl2,cr,208.2460,-858.6,-810.4,123.68,75.14,0.0
1214,BaCl2,g,208.2460,-525.9,-537.6,325.29,56.19,0.0
1215,BaCl2·2H2O,cr,244.2768,-1460.13,-1296.32,202.9,161.96,0.0
1216,BaBr2,g,297.1580,-439.,-473.,331.,61.5,0.0
1217,Ba(BrO3)2·H2O,cr,411.1698,-1020.23,-789.0,288.3,223.8,0.0
1218,BaI2,g,391.1488,-326.,-377.,343.,61.5,0.0
1219,Ba(IO3)2,cr,487.1452,-1027.2,-864.7,249.4,187.4,0.0
1220,BaS,cr,169.4040,-460.,-456.,78.2,49.37,0.0
1221,BaSO4,cr,233.4016,-1473.2,-1362.2,132.2,101.75,0.0
1222,Ba(NO3)2,cr,261.3498,-992.07,-796.59,213.8,151.38,0.0
1223,BaCO3,cr,197.3494,-1216.3,-1137.6,112.1,85.35,0.0
1224,BaO·SiO2,cr,213.4242,-1623.60,-1540.21,109.6,90.00,0.0
1225,BaO·2SiO2,cr,273.5090,-2548.1,-2410.7,153.1,134.10,0.0
1226,(BaO)2·SiO2,cr,366.7636,-2287.8,-2174.8,176.1,134.89,0.0
1227,(BaO)2·3SiO2,cr,486.9332,-4184.8,-3963.0,258.2,224.60,0.0
